Full Name,Gender,Date of Birth,Email,Phone Number,Alternate Phone,Address,Nationality,Marital Status,Occupation,Company Name,Salary,PAN Number,Aadhaar Number,Passport Number,Driving License,Blood Group,Education,Languages Known,Hobbies,Emergency Contact
Nakul Bhat,Female,04-06-1975,fshroff@hotmail.com,9.17081E+11,1934914747,"97/49, Tata Ganj, Serampore-495296",Indian,Single,Radiation protection practitioner,"Majumdar, Handa and Sahni","₹776,820 per annum",UHQWF25420,1.89892E+11,E7878170,MH12 24792203932,O+,B.Tech,"English, Telugu, Hindi","Photography, Reading",Seher Subramaniam - +914501261497
Jayant Kumar,Male,03-06-1982,ssankar@yahoo.com,9.16641E+11,9.19588E+11,"588, Goel Nagar, Bhind-881545",Indian,Single,"Education officer, museum","Srinivasan, Devan and Cherian","₹647,761 per annum",PMBFT25196,5.34716E+11,O3244491,MH12 25381565415,B+,M.E.,"Hindi, Marathi, Telugu","Gaming, Trekking",Siya Deshpande - +914422942881
Adah Bhatnagar,Female,06-01-2002,krishsubramanian@gmail.com,9.10289E+11,9.18253E+11,"076, Butala Nagar, Imphal-936679",Indian,Married,Financial adviser,"Karnik, Bhatia and Ganguly","₹427,356 per annum",CEQFN51467,4.2858E+11,T6123292,MH12 22869881888,A+,B.Sc,"Telugu, Hindi, Marathi","Trekking, Music",Darshit Devi - +914837627352
Ojas Ram,Male,31-01-1993,yashvi64@hotmail.com,5737501359,3939149582,"85, Tiwari, Naihati 372942",Indian,Married,Chartered public finance accountant,Lad-Loke,"₹625,701 per annum",HMFGL53149,4.31847E+11,U1422267,MH12 29949561608,A+,MCA,"Telugu, Tamil, Kannada","Gaming, Traveling",Pranay De - 02219308686
Vritika Mangal,Male,15-12-1975,riyabora@balasubramanian-bhardwaj.info,70857414,6265457510,"H.No. 28, Contractor Chowk, Asansol 626951",Indian,Single,"Investment banker, corporate",Mani Inc,"₹810,162 per annum",SYPPP55474,4.7062E+11,I9302620,MH12 20848510073,A-,MBA,"English, Marathi, Telugu","Trekking, Gaming",Bhamini Seshadri - 4471720472
Tiya Sule,Female,21-12-1985,hdey@yahoo.com,2576678696,9.17912E+11,"078, Bali Marg, Purnia 811122",Indian,Married,Acupuncturist,Raval PLC,"₹665,251 per annum",SRZEG16317,3.09558E+11,J5560739,MH12 25415226134,A-,MBA,"Marathi, English, Hindi","Reading, Trekking",Mamooty Lanka - +915744273578
Ira Sood,Male,10-11-1968,mallickrania@rau.net,146183357,9.194E+11,"H.No. 73, Mall Nagar, Miryalaguda 268493",Indian,Married,Technical brewer,"Rau, Samra and Anne","₹722,423 per annum",APFVD96742,4.3335E+11,U8272101,MH12 20810862088,B-,M.Tech,"Kannada, Telugu, Marathi","Photography, Gaming",Pranay Saxena - 07080303111
Jhanvi Rao,Male,11-12-1966,dugarhazel@yahoo.com,3158198476,4055488121,"H.No. 49, Sama Nagar, Kishanganj-477665",Indian,Single,Facilities manager,Chandran and Sons,"₹918,389 per annum",DLMFJ22051,1.13043E+11,B5772469,MH12 23341625686,A-,BCA,"Telugu, Kannada, Hindi","Gaming, Reading",Nitya Saraf - 9212368643
Renee Deshpande,Male,01-06-1998,emir92@yahoo.com,4904018154,669879828,"H.No. 181, Sani Path, Saharsa-588509",Indian,Married,Cabin crew,Lalla LLC,"₹969,913 per annum",KPEMD24538,5.95011E+11,S5122568,MH12 26988593013,B+,B.Tech,"English, Telugu, Kannada","Gaming, Photography",Nirvaan Balasubramanian - 01035750428
Hridaan Sunder,Female,22-05-2003,lshere@yahoo.com,7815559483,9.18222E+11,"H.No. 03, Kurian Street, Vadodara 249548",Indian,Single,Sub,Bhalla Inc,"₹1,384,255 per annum",USUZH44448,8.78497E+11,J4795935,MH12 20591842571,O+,B.Tech,"Marathi, Tamil, English","Trekking, Photography",Hrishita Mahajan - 05498866171
Anaya Das,Female,13-05-1977,vgolla@sabharwal.info,613245423,9.167E+11,"H.No. 50, Ahluwalia Chowk, Kamarhati-076426",Indian,Single,Ceramics designer,"Raval, Bakshi and Shanker","₹1,425,370 per annum",PTZTQ72491,4.95175E+11,Z1380362,MH12 21727031219,B-,M.Tech,"Kannada, Hindi, Tamil","Reading, Music",Stuvan Dhillon - 4045010089
Shlok Baria,Male,17-07-1996,tarankapadia@hotmail.com,9.18938E+11,9.15086E+11,"39/47, Loke Nagar, Pondicherry-619945",Indian,Single,Medical technical officer,Kapur Inc,"₹1,308,073 per annum",CWWEF95152,4.76682E+11,T4871537,MH12 29824939369,O+,B.Tech,"Tamil, Hindi, Marathi","Music, Trekking",Farhan Gola - +911524539533
Rasha Agrawal,Female,02-07-1970,sridharadvik@hotmail.com,64628954,5065884454,"449, Luthra Circle, Aurangabad-200893",Indian,Single,"Research officer, trade union","Varty, Walia and Tandon","₹1,448,084 per annum",YSPGJ35036,1.57656E+11,B9013310,MH12 27940663015,AB-,M.E.,"Kannada, Hindi, English","Photography, Gaming",Shayak Malhotra - 08513415331
Miraya Lalla,Male,17-06-1982,misharandhawa@sur-sood.com,816149486,7800803994,"10/42, Kanda Chowk, Agartala 112080",Indian,Single,Furniture designer,Lal PLC,"₹1,327,171 per annum",WCPNE18500,2.23941E+11,M8894437,MH12 27954925736,O+,B.Sc,"Marathi, English, Tamil","Reading, Photography",Hridaan Ganesan - 05176097762
Emir Subramaniam,Male,24-11-1977,hsamra@bains.info,6644220018,9.16425E+11,"H.No. 05, Rout Zila, Nashik-292822",Indian,Single,Musician,Devan Inc,"₹961,273 per annum",KDPNM85738,8.50372E+11,P6502887,MH12 27341736505,B-,MBA,"Telugu, Marathi, Tamil","Photography, Trekking",Zoya Joshi - +910134955839
Suhana Bhattacharyya,Male,26-06-1968,desaikeya@yahoo.com,9.18419E+11,6766870281,"H.No. 308, Bawa Zila, Dehradun 734939",Indian,Single,"Programmer, systems",Kale-Yogi,"₹941,300 per annum",WODAN05522,7.97276E+11,Y1141871,MH12 27933091229,O-,B.E.,"Tamil, Marathi, English","Reading, Trekking",Pranay Gupta - 09275451502
Nirvi Saran,Male,14-04-1982,wadhwaanika@yahoo.com,7162912085,9.18489E+11,"35/04, Bhatia, Amritsar 944227",Indian,Married,"Education officer, museum","Kota, Majumdar and Brahmbhatt","₹951,477 per annum",ELZMK87103,4.77754E+11,B5553966,MH12 23340411278,B+,MBA,"Kannada, English, Marathi","Music, Gaming",Parinaaz Kulkarni - 3626542648
Vardaniya Kala,Male,11-09-1992,bathuthkarsh@chad.biz,9.18184E+11,26361679,"49/49, Grewal Circle, Rajkot-715177",Indian,Married,Industrial/product designer,Kapoor Inc,"₹916,842 per annum",EHUJS61120,7.47743E+11,A8966978,MH12 22694338608,B+,M.Sc,"Hindi, Telugu, Marathi","Trekking, Photography",Myra Bava - 3441888165
Azad Bora,Female,31-03-1998,wkonda@ahluwalia.com,9610231573,3381175858,"H.No. 68, Kurian Road, Kumbakonam-591655",Indian,Single,Phytotherapist,Jani-Dewan,"₹1,417,200 per annum",UZHIU39236,2.93503E+11,T4581469,MH12 27804821077,AB-,MCA,"Telugu, Kannada, Marathi","Photography, Traveling",Zoya Contractor - 07692508311
